type,latitude,longitude,alt,name,color
T,-32.612674,-69.156176,3056.9,,green
T,-32.61265,-69.156171,3057.5,,green
T,-32.61263,-69.156163,3058.5,,green
T,-32.612599,-69.156157,3059.5,,green
T,-32.612569,-69.156143,3060.6,,green
T,-32.61252,-69.156146,3061.7,,green
T,-32.612463,-69.156164,3062.8,,green
T,-32.61241,-69.156187,3063.9,,green
T,-32.612344,-69.156194,3064.9,,green
T,-32.612303,-69.156215,3066,,green
T,-32.61225,-69.156201,3067.3,,green
T,-32.612239,-69.156199,3067.3,,green
T,-32.612241,-69.156184,3067.1,,green
T,-32.612234,-69.156182,3067.1,,green
T,-32.612231,-69.156155,3067.1,,green
T,-32.61219,-69.156074,3067.8999999999996,,green
T,-32.612124,-69.15604,3069.2,,green
T,-32.612095,-69.155989,3070.3,,green
T,-32.612064,-69.155948,3071.3,,green
T,-32.61204,-69.155929,3072.5,,green
T,-32.612045,-69.155926,3072.6,,green
T,-32.612043,-69.155926,3072.5,,green
T,-32.612042,-69.155934,3073.5,,green
T,-32.612042,-69.155937,3074.6,,green
T,-32.612038,-69.155936,3074.7,,green
T,-32.612038,-69.155936,3074.7,,green
T,-32.612038,-69.155937,3074.3999999999996,,green
T,-32.612038,-69.155935,3073.1,,green
T,-32.61204,-69.15593,3073.3999999999996,,green
T,-32.612045,-69.155932,3074.8,,green
T,-32.612044,-69.155932,3074.9,,green
T,-32.612044,-69.155898,3073.9,,green
T,-32.612055,-69.155898,3073.9,,green
T,-32.612055,-69.155873,3073.9,,green
T,-32.612071,-69.155857,3073.3,,green
T,-32.612078,-69.155838,3073.2,,green
T,-32.612081,-69.155578,3072.6,,green
T,-32.612089,-69.155514,3071.1,,green
T,-32.612087,-69.155445,3069.3999999999996,,green
type,latitude,longitude,alt,name,color
T,-32.612088,-69.155376,3068.3,,red
T,-32.612096,-69.155308,3067.7,,red
T,-32.612109,-69.155095,3066.3,,red
T,-32.612158,-69.154828,3063.8999999999996,,red
T,-32.612203,-69.154731,3061.6,,red
T,-32.612222,-69.154631,3059.7,,red
T,-32.612238,-69.154522,3057.5,,red
T,-32.612244,-69.154183,3055.1,,red
T,-32.612224,-69.154063,3053.1,,red
T,-32.612216,-69.153728,3051.5,,red
T,-32.612223,-69.153516,3050.2,,red
T,-32.612233,-69.153418,3049.5,,red
T,-32.612238,-69.153326,3048.9,,red
T,-32.612234,-69.152918,3049.2,,red
T,-32.612176,-69.152852,3050.2,,red
T,-32.61217,-69.152714,3049.3,,red
T,-32.612169,-69.152643,3047.3,,red
T,-32.612171,-69.152576,3045.8,,red
T,-32.612169,-69.152426,3045.3,,red
T,-32.612149,-69.152193,3045.6000000000004,,red
T,-32.612104,-69.152018,3046.1000000000004,,red
T,-32.612085,-69.151932,3045.4,,red
T,-32.612077,-69.151861,3043.2,,red
T,-32.61207,-69.151803,3040.9,,red
T,-32.612059,-69.151715,3039.8,,red
T,-32.612134,-69.151706,3039.3,,red
T,-32.612235,-69.151554,3038.1000000000004,,red
T,-32.612536,-69.151418,3037.9,,red
T,-32.612797,-69.151417,3038.7,,red
T,-32.612839,-69.151479,3039.7,,red
T,-32.612957,-69.151546,3040.9,,red
T,-32.613034,-69.151662,3042.1000000000004,,red
T,-32.613199,-69.151728,3043.1000000000004,,red
T,-32.613301,-69.151739,3042.4,,red
T,-32.613484,-69.15174,3041.5,,red
T,-32.613718,-69.151459,3042.1,,red
T,-32.614137,-69.151425,3041.8999999999996,,red
T,-32.614192,-69.151319,3040.6,,red
T,-32.614215,-69.151319,3039.4,,red
T,-32.614215,-69.151319,3039.4,,red
T,-32.61421,-69.151307,3039.8,,red
